love,eat,mom,beautiful,kids,husband,lunch,cute,school,excited,forget,device,political,miss,enjoying,doctors,perfectly,flew,fabric,fruit,menu,fan,realise,fire,reads,meal,grass,vintage,happier,Gender
0,0,0,2.357307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.144687,0,0,0,0,0,0,0,0,0,0,F
6.594067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
2.450296,4.542708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
0,0,0,0,0,0,0,0,7.665378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
0,0,0,0,0,0,0,0,2.59449,0,0,0,0,0,0,0,0,0,0,0,5.093855,0,0,0,0,0,0,0,0,F
2.240744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.656903,0,0,0,0,0,0,0,0,0,F
0,0,0,0,0,0,0,0,0,0,0,0,0,1.600572,0,0,0,0,0,0,4.351969,0,0,0,0,2.002242,0,0,0,F
0.811863,0,0,2.517469,1.269096,0,0,0,0,0,1.485017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.130708,0,0,F
1.721812,0,3.267534,0,0,3.267534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
0,0,0,6.475876,0,0,0,0,1.799684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
0,0,0,0,0,0,0,0,0,0,0,8.27748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
1.197039,0,0,0,0,0,0,2.547639,4.641941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
8.39154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
0,0,4.673452,0,3.849592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
0,0,0,0,3.667491,0,0,0,0,0,0,0,0,0,5.392102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
7.201794,0,0,0,0,0,0,1.915934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
1.606496,0,0,2.490754,0,0,0,0,2.076585,0,0,0,0,2.998912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
0,0,0,0,3.37065,0,0,0,0,0,0,0,0,0,0,0,0,5.877994,0,0,0,0,0,0,0,0,0,0,0,F
5.864464,0,0,0,0,0,0,0,0,0,3.575656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
3.326093,0,0,0,0,0,0,0,0,0,0,0,0,6.208956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
2.041347,0,0,0,0,0,0,0,0,0,3.733924,0,0,3.810668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
0,0,0,0,0,0,0,0,4.109229,0,5.814853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
1.717093,0,1.629289,0,0,0,0,1.827231,1.109772,1.5845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39034,0,F
0,0,0,0,0,0,6.328878,0,4.173922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
0,5.19885,0,0,0,5.321641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
2.387645,0,0,0,0,0,0,0,3.086313,0,0,0,0,0,5.487446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
1.268645,1.567997,0.802516,0,1.983133,0,0,0.900013,1.093249,2.341363,0,0,0,0,0,0,0,0,1.152779,0,0,0,0,0,0,0,0,0,0,F
0,0,0,0,0,2.109385,2.178582,0,0,2.051398,0,0,0,0,0,0,5.372775,0,0,0,0,0,0,0,0,0,0,0,0,F
4.609174,0,0,7.146188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
2.125107,0,0,0,0,0,0,4.522833,0,0,0,0,0,0,0,0,5.136035,0,0,0,0,0,0,0,0,0,0,0,0,F
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.152994,0,0,0,0,0,0,0,0,5.923802,0,0,F
0,0,0,0,0,0,0,0,0,6.121384,6.066942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
0,6.039383,0,0,0,0,6.384825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
3.34422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.116366,0,0,0,0,0,0,0,0,0,0,0,F
0,0,0,0,0,0,12.525398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
0.61723,1.144308,0,0,0.964846,1.171335,0,1.313641,0,0,0,0,0,0,0,0,0,0,0,3.116472,0,0,0,1.317809,0,2.882719,0,0,0,F
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.321042,0,0,0,0,M
1.815655,0,0,0,1.419106,0,0,0,0,0,0,0,0,0,2.08643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
1.815655,0,0,0,1.419106,0,0,0,0,0,0,0,0,0,2.08643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
0,0,0,0,0,0,0,0,0,0,0,0,5.511985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
0,0,0,0,0,0,0,0,0,0,0,0,5.511985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
0,0,0,0,0,0,0,0,0.882663,1.26024,0,1.635662,0,0,0,0,0,0,0,0,0,0,0,0,1.90117,0,0,0,0,M
5.859492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
0.763806,0.650066,0,0,0.596987,0,0,0,0.493655,0,0,0,0,0,0,0,0,0,0,0,0,0.744699,0,1.630755,1.063283,0,0,0,0,M
0,0,0,0,0,0,0,0,0,0,0,6.01541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
0,0,0,0,0,0,0,0,2.201856,0,0,0,3.841388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
0,0,0,0,0,0,0,0,6.168697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
0.883982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.447476,0,1.887335,0,0,0,0,0,M
0,0,0,0,0,0,0,0,0,0,0,6.225713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
0,0,0,0,0,0,0,0,0,1.021121,0,2.650619,0,0,0,0,0,0,0,0,2.808299,0,0,0,0,0,0,0,0,M
0,0,0,0,0,0,0,0,0,0,0,6.491581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
0,0,0,0,0,0,0,0,6.738737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
0,0,0,0,0,0,0,0,0,7.071188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.272691,0,0,0,0,0,0,0,M
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.292834,0,0,0,0,0,0,M
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.308978,0,0,0,0,0,0,0,M
0,0,0,0,0,0,0,0,0,0,0,7.735554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
0,0,0,0,0,0,0,0,0,0,0,4.103172,0,0,0,0,0,0,0,0,0,0,0,3.657267,0,0,0,0,0,M
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.810247,0,0,0,0,0,0,M
0,0,0,0,0,0,0,7.996134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
6.541251,0,0,0,0,0,0,0,0,0,0,0,0.702443,0,0,0.827441,0,0,0,0,0,0,0,0,0,0,0,0,0,M
1.063123,0.603208,0,0,0,0,0,0,0.458071,0,0,0.84885,0,0,0,0,0,0,0,0,0.899347,1.382039,1.026264,0,1.973279,0,0,0,0,M
0,8.349027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
0.672576,0.381614,0.850912,0.695187,0,0,0.878826,0,0,0,0,0.537018,4.044638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.599278,M
0,0,0,0,0,0,0,0,4.76206,0,0,0,4.153977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.989201,0,0,0,0,M
0,0,0,0,0,0,0,0,9.093636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
2.844726,0,0,0,0,0,0,0,0,0,0,0,6.415196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.831198,0,0,5.470194,0,0,0,0,M
0,4.031772,0,0,0,0,0,0,0,0,0,0,5.341473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
0,4.031772,0,0,0,0,0,0,0,0,0,0,5.341473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.463824,0,0,0,0,0,0,0,M
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.463824,0,0,0,0,0,0,0,M
4.453028,0,0,0,0,0,0,0,0,0,0,5.333276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
2.712036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.854024,0,0,0,0,0,0,M
0,0,0,0,0,0,0,0,0,0,0,0,12.108383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
0,0,0,0,0,0,0,0,0,0,0,0,6.600431,0,0,0,0,0,0,0,0,5.7073,0,0,0,0,0,0,0,M
4.965534,0,0,0,3.881034,0,0,0,0,0,0,0,0,4.634684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.227301,0,0,0,0,0,0,M
0,0,0,0,0,15.132482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
0,0,0,0,0,0,0,0,0,0,0,16.425181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
6.198545,0,0,0,0,3.921056,4.049684,0,0,0,0,0,0,3.857027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
0,0,0,0,0,0,0,0,0,0,0,20.727159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
0,0,0,0,0,0,7.271097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.841012,0,0,0,0,0,M
0,0,0,0,0,0,0,0,0,0,0,23.260479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.163885,11.91666,0,0,0,0,0,M
0,0,0,0,0,0,0,12.613914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
